mcc_overall,mcc_AKS,mcc_ARCHDAM,mcc_B2K,mcc_CHE,mcc_CMD,mcc_GAK,mcc_KAL,mcc_KATMOJPRZ,mcc_KIEG,mcc_KLU,mcc_KUD,mcc_LUMICE,mcc_LUX_A,mcc_MKW,mcc_MOR,mcc_OST,mcc_OTW,mcc_PIO,mcc_PRZ,mcc_PUS,mcc_SL2,mcc_SLU,mcc_SRK,mcc_STG1,mcc_SZC,mcc_TER_L,mcc_TOR,mcc_WLU,mcc_Z04O,mcc_ZOZLO,method,fold
0.8561195767634584,0.5703813055548974,0.8516875708087847,0.9349335341915788,0.5994607990471291,0.13982823268978287,0.7001302068329347,0.9307930793821583,0.91525401771903,0.5266353433942949,0.7889710416750608,0.9370954492945007,0.9607936856551094,0.8551852481405077,0.7823969558892843,0.9485041490926234,0.7692261096420613,0.8377828469148141,0.38667798545082743,0.7943445421559298,0.9212202789122785,0.4802543884673486,0.9087552372332858,0.7315914655048837,0.9216350981733559,0.8828473561831439,0.6947456172592106,0.9359981986852419,0.8069818560092373,0.9037833589882615,0.7917836899191033,raw,1
0.8631221315739266,0.618608813509519,0.8648058810451957,0.9565926515268683,0.407671369514555,0.14802601085187278,0.7915484465238054,0.9388736617749275,0.901519780542631,0.25963876187942353,0.8024308353691557,0.9015320330552747,0.9255735934401015,0.8682088735333356,0.8160449994178677,0.9498111069134869,0.809625054096113,0.8527720220183774,0.6521143336024667,0.8132280838159722,0.9531918858125361,0.533665760523565,0.9007552981221939,0.7853041519970595,0.8764472174525121,0.8878595557272937,0.6794864240335065,0.9328938200860395,0.812763300633539,0.9260172831106661,0.8101741028735494,raw,2
0.8681401874959372,0.5508444684937963,0.8649006283197255,0.9486201200474219,0.2792378459125148,0.19582896572252453,0.7165865409651682,0.8860670306423682,0.9224640851243178,0.3803781876517137,0.8635484663469546,0.9583316997435918,0.928306329079199,0.8648220628370109,0.7638408613637847,0.9255578401667686,0.8286680975636844,0.8457235319250335,0.5123123452450873,0.8884093712705603,0.8572770651117633,0.5674357379215725,0.8551681666513292,0.7846409838835237,0.9448127763709505,0.8922049374041132,0.6693539000472747,0.9415035550662626,0.8150843598691602,0.9054019328168054,0.7987027460878131,raw,3
0.8681812899415086,0.4928295919341464,0.8710817416321359,0.9398089393883028,0.4844769958561615,0.14802526792637452,0.7790035194405538,0.9518950138514536,0.9310913105020925,0.21195399889195493,0.8191306963206246,0.9067729451512881,0.9267578566683913,0.8506847085807754,0.8407922038162301,1.0,0.7828075044866712,0.8480582112632311,0.65211417996339,0.8734036181458547,0.925004058125874,0.49896248618841105,0.9194565153563486,0.8269653193255674,0.9213226283608276,0.8963053461434405,0.7125652361189808,0.925521530855752,0.7637352223110773,0.9230949979082166,0.7749678051824868,raw,4
0.8675058591041823,0.4573430646016242,0.8735116461204903,0.9593797326624814,0.17070650254392475,0.16461999584229,0.7790035194405538,0.9628411300362286,0.9305463736689932,0.24523124846379382,0.8123254499395179,0.9436812313171786,0.9096059341678822,0.8743660791175851,0.8215323429003443,0.9745873750299727,0.8000942228444862,0.8090786714754212,0.6119702001931978,0.797049323989041,0.7840473826188696,0.6527456497992876,0.8774898296551115,0.8607673290409639,0.9246889598351795,0.8973987712643303,0.6989046274065784,0.9451394922339756,0.7836050870498651,0.9113014968677893,0.8135562635755119,raw,5
0.9869241818862493,0.9665663843411885,0.9964202444176412,0.9781232350057889,1.0,0.9839365442107777,0.9832827686874102,0.9937887670431241,1.0,0.768053285695829,0.9714805690865385,1.0,0.9920622640275581,0.9706656788781209,0.8984049478520456,0.9216933304691839,0.9852519431968979,1.0,0.8361863112786595,0.997105707286598,0.9370820456299254,1.0,0.9841317121821759,0.9847738840228888,0.9921806857580544,0.9968615122938966,0.9925354374926435,0.9896819743251601,0.9836474282620675,0.9918255220679945,0.9508499216907443,sitewise,1
0.9867136885781889,1.0,1.0,0.9813247262104061,0.9717335779194137,0.9839365442107777,1.0,0.987540864518957,0.9956940621157431,0.8786340944134376,0.9600737663078531,1.0,0.9591659727805201,0.9773813361142318,0.9561377162085445,0.8656167277181798,0.9666461964546342,0.9925397969544701,0.7941946242285245,0.985688024501222,0.9370820456299254,0.8815842419651918,0.9790521041002739,0.9694300584824405,0.989562567911127,0.998428214096199,0.9962205534497393,0.9931186645584896,0.9803099861791962,0.9918255220679945,0.9892281661177933,sitewise,2
0.9860908384076044,0.9668076800843507,0.9964131599357301,0.9845538088785611,0.9700509383972024,0.9507722898217986,1.0,1.0,0.9946065035510587,0.7378521356954971,0.9716716694918303,1.0,0.9595554178402862,0.9753235218248041,0.96797015320648,0.8446756397275681,0.9666461964546342,0.9974839630499275,0.9732366296473469,1.0,0.9846387076017807,0.8494357003528489,0.9575807877617831,0.9537379899673479,0.989562567911127,0.9968615122938966,1.0,0.9931186645584896,0.9805143531051969,0.9898484225606055,0.9730801324343238,sitewise,3
0.9846320635122263,0.9892105854965475,0.9976134694933413,0.9856360960341675,0.9700509211108006,0.9601842059921202,0.9832827330602697,0.9876137100120762,0.9956719481997125,0.8251771490372951,0.9704836587571506,1.0,0.9678771214445958,0.9661884202767401,0.9351138701651063,0.7740119575754129,0.9633451314017594,0.9949858097527092,0.8267018497387494,0.9829857345026112,0.9545925067326166,0.8815841791373801,0.9683931923079498,0.9694299863995963,0.9921152683623587,0.9968630721737046,0.9887841475177417,1.0,0.9711626132492232,0.991825444515897,0.9781701095403145,sitewise,4
0.9835919896074177,0.9791932293432851,0.9988072017574025,0.9834740391784508,0.9391591196961534,0.9421811300628065,1.0,1.0,0.9989151435312703,0.8251771490372951,0.9600735607636768,0.9714546730344173,0.9431006603717375,0.9576398154183487,0.8864208586252761,0.9216932811579577,0.9628019323671497,0.9949732341036689,0.945726678564466,1.0,0.9370819784671472,0.8815841791373801,0.9788384260637982,0.9851034598777547,0.981713717753202,0.9927118605878233,0.9886472660662013,0.993183760080671,0.9871163856038943,0.9878078968772679,0.9726266832906979,sitewise,5
0.9850511201798016,0.9446385120643278,0.9976106630792141,0.9791067291115515,0.9700509383972024,0.9601842965533786,0.9916750205505933,0.9876137465503095,0.9978409600365039,0.7971217519793067,0.9711594406075189,0.9930323339273074,0.9840635614212041,0.9820114880767233,0.9102355678330036,0.8056932861720756,0.9851208476132877,1.0,0.8656167277181798,0.9970899909007189,0.9206966227073883,0.9426310691327983,0.9841821765355695,0.9694300584824405,0.9947677230935669,0.9958198539060864,0.9887282654508588,0.9896819743251601,0.977285654122254,0.9817346629543733,0.9511367254571186,combat,1
0.9869208532916177,0.9892106033257588,0.9988072229445852,0.9813247262104061,0.9442556226921786,0.9838116284408284,1.0,0.9937887670431241,0.9978409600365039,0.8786340944134376,0.9597974085529656,1.0,0.9591659727805201,0.9840176636911518,0.978306384588535,0.8940894801360747,0.9814731624493171,0.9900880079383383,0.7248604829173443,0.9885034627927222,0.9370820456299254,0.9426310691327983,0.984291892151029,0.9771861011537493,0.9920767653582641,0.9968615122938966,0.9962205534497393,0.993139684998709,0.9739285018100872,0.9857144931920259,0.9729130082241622,combat,2
0.9846366681434551,0.9224693440443048,0.9976106630792141,0.9867220619499216,0.9391591531616502,0.9591659727805201,1.0,0.987540864518957,0.9967660006676389,0.7087266510050383,0.9750893635025881,1.0,0.9920622640275581,0.9773813361142318,0.9570636888372835,0.8724595764206446,0.9628021190332191,0.9949498597288852,0.8881878982361093,0.997105707286598,0.9846387076017807,0.8160344566113398,0.9576242217817432,0.9457989802158583,0.9920767653582641,0.9963404028993273,1.0,0.9896819743251601,0.9532043648815243,0.9918555971431561,0.9678462298685976,combat,3
0.9831803457302624,0.958165398280826,0.9976134694933413,0.9780380541227753,0.8741445794821117,0.9526727567682569,0.9916750025815656,1.0,0.9978310124799451,0.6734366170912438,0.9742204067924282,1.0,0.9515491505732071,0.9679318389701795,0.9351138701651063,0.8656166505621669,0.9595168808389277,0.9900424541869999,0.8579899999530691,0.9828139530822041,0.969958778431698,0.8160343694098321,0.9947895038046641,0.9537378832713983,0.9869471733135854,0.9968630721737046,0.9962205348716342,0.9965867148872877,0.9711626132492232,0.989810953139846,0.9730800407482069,combat,4
0.9825524670682444,0.9681908241869775,0.9988072017574025,0.9856360960341675,0.8741445794821117,0.9590406454999187,1.0,0.9938626376021836,0.9956620249598903,0.8251771490372951,0.9493754432720769,0.9642865504038822,0.9431006603717375,0.9666005331635565,0.8864208586252761,0.8056931856693106,0.9553623188405798,0.995008881494633,0.888187834913771,0.9971056883792632,0.9690398562957763,0.8160343694098321,0.9788384260637982,0.9851034598777547,0.9895216095994983,0.9927118605878233,0.9923994678339986,1.0,0.965276118443167,0.9938514818061771,0.9727974852641041,combat,5
0.9852606613901493,0.9329985981437197,0.9964329559626698,0.9834743570648877,0.9391591531616502,0.9843076799343867,0.9832827686874102,0.987540864518957,1.0,0.7063730255440767,0.9817297389294457,0.9930323339273074,0.9679980813431941,0.9843197781125822,0.8986651448754936,0.8056932861720756,0.9672635600052107,0.9950089196671172,0.8056932861720756,0.997105707286598,0.9690398910355591,0.9717335779194137,0.9788384991473832,0.9616145087178698,0.98694726842044,0.9968615122938966,0.9780780600381951,0.9931186645584896,0.9869748888052303,0.9878080127800626,0.9673993697961372,neurocombat,1
0.9844279029665248,0.9780710442045492,0.9988072229445852,0.9802545168180974,0.8815842419651918,0.9920622640275581,0.9918082832760161,0.9813274805911214,0.9967660006676389,0.7971217519793067,0.9635724499686725,1.0,0.9757463578162915,0.9731564969243793,0.978306384588535,0.8361863112786595,0.9666461964546342,0.9900053214148486,0.7941946242285245,0.9885034627927222,0.8870376721669695,0.8494357003528489,0.9895536217583287,0.9615051545310679,0.997361248929244,0.9958198539060864,0.9813968312603538,0.9863905270530775,0.9769624597991208,0.9958892162422827,0.9675672024562756,neurocombat,2
0.9840101163993042,0.9329985981437197,0.9928714740803173,0.987810894197012,0.9700509383972024,0.9423071629142644,1.0,0.9937887670431241,0.9967556947497781,0.8251772520482774,0.9745947928722448,0.9930323339273074,0.9674900691015158,0.9706656788781209,0.9570636888372835,0.8446756397275681,0.9669313439523958,0.9974722292916693,0.8579900764004144,0.9941873184220659,0.9846387076017807,0.8160344566113398,0.9630227766036602,0.9537379899673479,0.9870013860593935,0.9947804326610643,1.0,0.9965646056478598,0.9586419921049291,0.9876964573392577,0.9737362594522669,neurocombat,3
0.9819290239074394,0.9451034835552612,0.9964258615315192,0.9867218069600183,0.9391591196961534,0.95955532731571,0.9749551203503017,0.9752274200241524,0.99783714611899,0.7680531624681709,0.9704836587571506,1.0,0.9514280168096343,0.9795094836386805,0.9570636198511512,0.8656166505621669,0.9636747693749262,0.9900424541869999,0.7628811684498886,0.9824835341758771,0.9231110867393257,0.9126124353490055,0.9843412199412761,0.9315001634836694,0.9818550170096025,0.994783016250878,0.9849358582095145,0.9931630278938989,0.9620629673386927,0.9958891773227574,0.93574611723185,neurocombat,4
0.9798500866980836,0.9570670135998901,0.9976087455049699,0.9866707525950412,0.8741445794821117,0.9591658834613063,1.0,1.0,0.9945969852184826,0.7378520041845996,0.9540562070564036,0.9362279675991462,0.9003592283991246,0.9616717096366577,0.9219186664905223,0.7409901416628253,0.9595689990104758,1.0,0.888187834913771,0.9971056883792632,0.9370819784671472,0.7812197435358248,0.978998007716147,0.9925252135222928,0.9764802621928186,0.9901353248055933,0.9886472660662013,0.993183760080671,0.965276118443167,0.9938514818061771,0.9675102836199974,neurocombat,5
0.9576076764775752,0.8472290698795045,0.9976182150508367,0.950260482698369,0.839771800783665,0.9674900691015158,0.9662894150867456,0.9686399627900791,0.9935364378528266,0.6734367610727305,0.9378650781764855,0.9646859714415097,0.9442453128162888,0.9262457362182538,0.8371201507033184,0.6701245540956435,0.9261505620596765,0.9823115916317035,0.8056932861720756,0.9679474355715127,0.9040206286969055,0.7447936717918211,0.9792613587321108,0.9537379899673479,0.9789137234400311,0.9738330785057141,0.9583543959097773,0.9758061606488253,0.8957737945760135,0.9582066692798147,0.858032847050514,covbat,1
0.9540621260359853,0.9084714174962525,0.9952514254779266,0.9501016845087241,0.8494357003528489,0.942710528709069,0.983551499699992,0.9686399627900791,0.9956940621157431,0.47596740968808965,0.9266637254637784,0.9429854433962482,0.9175868257050608,0.925366928332753,0.8754115070782518,0.8056932861720756,0.9107250856797259,0.9873656593390502,0.760311764983033,0.9373299462076783,0.8520771099329544,0.7065067187494237,0.984291892151029,0.9143866315854391,0.9663086019567322,0.970145671043545,0.9655242340614495,0.9653418004383872,0.9051293961496986,0.9436631290063088,0.9110403204971722,covbat,2
0.9561574989200093,0.7942292504834153,0.9869407288648757,0.9531072756532308,0.8039444747652778,0.8821053084915744,1.0,0.9750031347931023,0.9945781610416267,0.6388179899623568,0.9382922264612656,0.965063891610904,0.9251547268197758,0.9444255018289553,0.9124199169320799,0.7552870891628543,0.868470521387729,0.97705542504514,0.8881878982361093,0.9619448593629482,0.9206966227073883,0.7065067187494237,0.9250617162755477,0.8978015596712551,0.9715174587094239,0.9788541213202405,0.9731718870076188,0.979419054996127,0.9207455810603704,0.9554793702344956,0.888052960829384,covbat,3
0.9544749791240503,0.8371199282921561,0.996413096349794,0.9489382011628182,0.8039443888881251,0.8921062225174416,0.9662893450905435,0.9298402835069856,0.9945828625520716,0.5266351529354599,0.9417156209376183,0.942090300069873,0.9431006603717375,0.953159456545745,0.9235976019614893,0.7434826042706412,0.9006224900776115,0.974643469126444,0.7248603667512519,0.9570861424757491,0.8216227471406361,0.7065066055674266,0.973892936077888,0.8997672267706308,0.9527990812402141,0.9723501200073852,0.9770613445351249,0.9794420177053493,0.9094063733286273,0.9593899504786656,0.8939034384505194,covbat,4
0.9478110036282948,0.8864208586252761,0.996413096349794,0.947580132304612,0.8397717260160481,0.9262549227892087,0.9916750025815656,0.9749321498976462,0.9848459586033249,0.42567796854709944,0.8869183504287643,0.9211513464644367,0.9004835457796043,0.9445195184414562,0.8289039707999765,0.6701244228361237,0.8525863224164955,0.955222036520005,0.8579899999530691,0.9537650132532052,0.7968190728895959,0.7447935657135588,0.9474950192903675,0.9311369315764038,0.9607798955116682,0.9654831152952622,0.9495323429819692,0.975899840084164,0.9157940830612562,0.971451437999299,0.8634278482262698,covbat,5
